city,region,financial_center_rank,population_millions,gdp_per_capita,timezone_offset,english_proficiency
New York,North America,1,8.3,75000,-5.0,1.0
London,Europe,2,9.0,55000,0.0,1.0
Tokyo,Asia,3,14.0,42000,9.0,0.4
Paris,Europe,4,2.1,45000,1.0,0.6
Singapore,Asia,5,5.5,65000,8.0,0.9
Hong Kong,Asia,6,7.5,50000,8.0,0.85
Sydney,Oceania,7,5.3,60000,10.0,1.0
Toronto,North America,8,2.9,52000,-5.0,1.0
Frankfurt,Europe,9,0.75,55000,1.0,0.7
Dubai,Middle East,10,3.3,45000,4.0,0.8
Shanghai,Asia,11,26.0,25000,8.0,0.3
Mumbai,Asia,12,20.0,7000,5.5,0.6
Sao Paulo,South America,13,12.0,15000,-3.0,0.3
Mexico City,North America,14,21.0,10000,-6.0,0.3
Seoul,Asia,15,10.0,35000,9.0,0.5
Los Angeles,North America,16,4.0,70000,-8.0,1.0
Chicago,North America,17,2.7,65000,-6.0,1.0
Boston,North America,18,0.7,80000,-5.0,1.0
San Francisco,North America,19,0.9,95000,-8.0,1.0
Seattle,North America,20,0.7,85000,-8.0,1.0
